,id,name,popularity,danceability,energy,liveness,loudness,speechiness,acousticness,instrumentalness,tempo,valence,key
9119,1B87ZDrD3Pno9hS4stamWO,Comin Out Strong (feat. The Weeknd),65,0.628,0.481,0.118,-7.775,0.475,0.29,0.0,108.761,0.33,1.0
9120,78IOalAf5r8WdHhyEq7spD,HNY,45,0.406,0.00244,0.103,-21.269,0.0808,0.994,0.801,130.129,0.22,0.0
9121,37D9O4De2WL1hA6gyResgl,"Cheer Up, My Brother",64,0.761,0.263,0.0996,-14.762,0.0473,0.12,0.239,107.991,0.315,0.0
9122,3WRIaWsws011vHMd9uzPjG,First Off (feat. Travis Scott),64,0.734,0.683,0.28,-6.105,0.0776,0.013,0.0,162.038,0.445,1.0
9123,03PM8jkLPwI6cDcZBvwCSL,He'll Never Love You (HNLY),45,0.505,0.809,0.562,-4.451,0.205,0.561,9.56e-06,99.758,0.484,0.0
9124,6c07FQryyVnmfFUuECzRvV,HNSCC,36,0.169,0.45,0.147,-16.608,0.0517,0.143,0.959,85.34,0.0773,0.0
9125,7wcyO1rrH3Ru4t659IjG41,Crushed Up,62,0.781,0.597,0.152,-6.794,0.23,0.0415,0.0,158.043,0.544,10.0
9126,3qPnnxoxhpUpqoAz7mA1tJ,Keep It Thoro,42,0.806,0.54,0.245,-6.433,0.311,0.0412,0.0,88.887,0.793,10.0
9127,2n2z2DsIHxiV9SDzkXehxm,Hngkng,40,0.35,0.091,0.0888,-25.788,0.0355,0.976,0.939,146.873,0.243,1.0
9128,6yHkPtl6UQ7RjtJLBPzbJw,Selfish (feat. Rihanna),61,0.415,0.369,0.383,-10.044,0.0741,0.0303,7.64e-06,95.746,0.0913,8.0
9129,0526DaOuV7mRlPKxhMSJKw,My Collection,58,0.697,0.459,0.0971,-8.498,0.448,0.729,8.35e-06,80.085,0.409,8.0
9130,49VM3vCQBFr1wJJw7xByGf,Montara,56,0.772,0.655,0.0753,-11.531,0.0437,0.258,0.902,91.995,0.621,7.0
9131,7IeHIGriFrJaTeaC4W0a8W,Hallucinating,56,0.787,0.492,0.239,-6.574,0.256,0.365,2.47e-05,130.016,0.241,10.0
9132,0SwAOdc4C2kWUMbsXG4ztz,Most Really Pretty Girls Have Pretty Ugly Feet,58,0.929,0.449,0.0889,-10.425,0.0574,0.0862,0.49,119.896,0.612,1.0
9133,2qwn6whaZf7gax7SaqUZSC,Incredible,56,0.79,0.438,0.1,-6.462,0.133,0.0634,0.0,90.022,0.247,1.0
9134,0JcgIOrlZ0CNUOPxyudnrK,Handstand (with Doja Cat feat. Saweetie),73,0.786,0.551,0.68,-5.789,0.243,0.0138,0.0,174.995,0.354,8.0
9135,7mY3gSbmqBfMqKv0cCyXJl,Kindness,54,0.668,0.363,0.0757,-10.755,0.0606,0.27,0.723,86.77,0.577,1.0
9136,3fDHHkOEw2Fr8km3T4ixYQ,So,52,0.496,0.291,0.108,-15.028,0.0376,0.438,0.894,179.913,0.192,5.0
9137,5YP6yKgGGsXKukqxXypVAf,F&N,56,0.728,0.628,0.0735,-4.766,0.191,0.01,6.53e-05,160.94,0.393,1.0
9138,2rGCYAabfA63PIzhQm7hVq,Internet Love,56,0.816,0.471,0.0869,-8.061,0.0633,0.716,3.12e-05,109.013,0.402,2.0
9139,4HfaOznGhHYWqPtpLYz2PB,Rocket Ship,55,0.953,0.38,0.127,-4.941,0.261,0.00957,0.0,133.941,0.128,8.0
9140,6WY2LjJRpoGlyHbMDd6Ylx,hn,0,0.474,0.803,0.469,-4.361,0.458,0.867,1.02e-06,96.766,0.579,3.0
9141,1LPtntb63q7QI0pJ8M9Lvv,HN 001,26,0.568,0.559,0.148,-21.384,0.119,0.649,0.404,124.335,0.378,10.0
9142,4CPsMAG28OgzzDk1DcOtBx,Sorry,54,0.87,0.531,0.0798,-6.471,0.0992,0.428,0.0,100.01,0.315,5.0
9143,7hyFSpzdmkFZgdnh0we78m,HN,0,0.497,0.711,0.816,-10.054,0.0509,0.000115,0.0,151.993,0.441,4.0
9144,3azklmvQhZ2xMuXvhzmwr6,HN 002,25,0.378,0.483,0.0966,-21.748,0.0861,0.174,0.00961,124.714,0.366,1.0
9145,2vN28n125S38JhZczknkzW,HN,0,0.709,0.507,0.121,-8.25,0.21,0.0251,0.0,145.002,0.428,1.0
9146,0EVDwbDCPL9nZkUWXojzDO,HN 004,25,0.648,0.515,0.273,-21.023,0.101,0.483,8.52e-05,123.787,0.525,1.0
9147,4AFgK4wP1iD5i8BYaLr9Vf,You Da Baddest (feat. Nicki Minaj),56,0.807,0.736,0.104,-6.748,0.151,0.109,0.00729,154.023,0.54,7.0
9148,5TFcv2i1nS4oB21y277FCj,hN,0,0.252,0.963,0.686,-6.723,0.116,6.85e-05,0.722,110.749,0.233,0.0
9149,7cCK05JVhOEPNWkGarjsx5,What Is Love,38,0.591,0.362,0.0558,-11.937,0.167,0.432,1.59e-06,80.428,0.47,1.0
9150,5FsJ8AUxW1KBypdhFvbdkd,PIE (feat. Chris Brown),56,0.755,0.6,0.117,-6.431,0.309,0.144,0.0,155.982,0.652,5.0
9151,2BD3OZYchgd4cV3NZ6XaVR,HN,0,0.226,0.267,0.112,-19.725,0.0768,0.278,0.253,82.397,0.0325,0.0
9152,273poy5BHtv5YFedkWIqwj,Nothing - Original Mix,52,0.79,0.427,0.0514,-11.361,0.0541,0.000885,0.446,116.986,0.961,11.0
9153,1I3ZAmPmbFV78oNKnibOiW,Jumpin on a Jet,54,0.824,0.595,0.0876,-6.346,0.091,0.0571,3.7e-06,140.039,0.157,11.0
9154,7I8yTiK3jLV7GldqhAOEPd,HN,0,0.677,0.828,0.062,-5.837,0.0301,0.105,0.976,95.103,0.879,0.0
9155,7MYCyBV4EgyMKLbHCQ6aY1,HN 005,22,0.27,0.53,0.11,-21.041,0.188,0.492,0.2,120.309,0.133,1.0
9156,2aR4gdgyCgacqHGqUZ91YS,Talk Shit Like a Preacher,52,0.878,0.452,0.107,-8.695,0.496,0.00728,0.000423,154.035,0.425,2.0
9157,5Mtk6e4TAxzaSFk99iviEe,HN,0,0.901,0.567,0.108,-7.086,0.0473,0.385,0.00118,120.008,0.242,5.0
9158,2qcPi2BKIrArJ0Cnb06kqC,Till dig,46,0.593,0.258,0.0906,-20.082,0.0544,0.863,0.926,116.41,0.1,10.0
9159,1AGPmw3QJBNfOK6XioDhZp,Never Stop,54,0.571,0.556,0.137,-5.857,0.223,0.0662,0.000149,155.465,0.0762,1.0
9160,5cqwN0YAkuZQtzmnm2Zwwx,HN,0,0.773,0.494,0.0819,-15.145,0.0631,0.328,0.603,125.029,0.138,4.0
9161,7w5cxTEzp1rfV3KCy0Bd5N,Home,70,0.542,0.589,0.177,-6.623,0.0318,0.292,0.000522,111.665,0.137,2.0
9162,7DcJ6fEBb7BaKuYKTwiDxK,Homage,79,0.546,0.465,0.321,-8.167,0.0287,0.153,0.00259,73.369,0.415,5.0
9163,5OELUCYgOHKFAvCERnAvfS,More Than My Hometown,77,0.62,0.869,0.131,-5.479,0.0462,0.615,0.0,126.019,0.597,6.0
9164,5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,82,0.64,0.743,0.101,-4.08,0.0379,0.269,0.0,122.035,0.361,10.0
9165,0zePbRMJ9sd7wsZRlbPQua,Hot Rod,79,0.707,0.767,0.169,-7.072,0.0323,0.0279,0.000295,139.985,0.832,7.0
9166,1Q1oMOnbxlg38YLZw01z8m,Holy,0,0.673,0.704,0.0898,-8.056,0.36,0.196,0.0,86.919,0.372,6.0
9167,5NvOZCjZaGGGL597exlQWv,Line Without a Hook,83,0.432,0.652,0.258,-4.969,0.0285,0.262,0.0,190.028,0.507,8.0
9168,2ovQ5MCx91XVjgVWEPfvks,Homecoming,77,0.667,0.747,0.115,-7.059,0.189,0.337,0.0,86.917,0.918,1.0
9169,5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),85,0.516,0.467,0.0853,-6.184,0.0302,0.662,0.0,132.861,0.386,0.0
9170,7BY005dacJkbO6EPiOh2wb,House Of The Rising Sun,72,0.295,0.584,0.0996,-6.696,0.0345,0.000385,0.218,117.2,0.228,9.0
9171,5X1kTi7KqUrAbQBohSV68x,¡Hola Casita!,77,0.164,0.377,0.404,-11.9,0.0374,0.736,0.758,130.447,0.0599,0.0
9172,23T0OX7QOiIUFShSzbJ5Uo,I Hope,78,0.466,0.536,0.114,-6.227,0.0429,0.0951,0.0,75.998,0.377,6.0
9173,2aSC2xhRxOLiiZZVjhbylH,"Hold On, We're Going Home",73,0.777,0.414,0.0724,-7.44,0.0946,0.00421,2.73e-05,100.002,0.287,6.0
9174,58k32my5lKofeZRtIvBDg9,HONEST,76,0.676,0.536,0.105,-8.79,0.0432,0.403,3.37e-05,79.037,0.373,2.0
9175,0W4Kpfp1w2xkY3PrV714B7,Ho Hey,74,0.685,0.466,0.0915,-9.074,0.0304,0.794,2.06e-06,79.936,0.353,0.0
9176,4rsW3WCZBGwhHfJWuHRwyT,Home,69,0.606,0.826,0.117,-6.04,0.0307,0.0256,1.56e-05,121.04,0.322,0.0
9177,5vjLSffimiIP26QG5WcN2K,Hold On,83,0.618,0.443,0.0829,-9.681,0.0526,0.469,0.0,119.949,0.167,2.0
9178,1zejeOnykpCoyVSit6Bwp3,hope ur ok,79,0.443,0.298,0.103,-12.181,0.0644,0.388,1e-05,77.253,0.172,0.0
9179,1y4eb6hmAvsqlDOl3fx9kk,Hot N Cold,70,0.706,0.841,0.0688,-3.956,0.0418,7.95e-05,0.0,132.032,0.861,7.0
9180,37jTPJgwCCmIGMPB45jrPV,Holy Grail,66,0.676,0.534,0.256,-6.901,0.0831,0.0594,8.59e-06,145.082,0.156,2.0
9181,2qPSa6HXjzwa9sLhNGpA1T,Home,77,0.725,0.199,0.1,-12.478,0.0357,0.982,0.00395,120.031,0.264,2.0
9182,1cTwGJQYTzpu4cLGCnnCqF,How You Been,62,0.615,0.506,0.136,-8.565,0.306,0.0971,0.0,84.363,0.229,5.0
9183,3Jtn0oLAGr0KFA5J8CaT4C,Horses Are Faster,70,0.311,0.708,0.115,-6.29,0.0445,0.0598,1.1e-06,80.893,0.46,9.0
9184,5qyZ6LcHvBiIHLaoED8K4g,Hot (feat. Moneybagg Yo),75,0.773,0.623,0.133,-5.267,0.196,0.00194,0.0,153.1,0.13,2.0
9185,2DgdHcjWmO3qd50RzuBLgZ,House of Memories,80,0.506,0.817,0.0486,-5.051,0.0335,0.00272,0.0,109.952,0.506,11.0
9186,1LIqNVhaIgxXUt2eVoIQJ3,HP,75,0.837,0.791,0.188,-3.157,0.0773,0.252,1.14e-06,91.98,0.618,4.0
9187,0qrspngBTSQ1uO3NMMf599,Flow HP,0,0.77,0.837,0.0793,-4.749,0.14,0.164,4.07e-06,178.0,0.887,7.0
9188,2wspc75R45gvwJCZOorAqv,Flow HP,73,0.77,0.837,0.0793,-4.749,0.14,0.164,4.07e-06,178.0,0.887,7.0
